▮▮▮▮ root:build-web (ce718f2e)
   0. 7s  INFO Building project...
   3.653s  INFO Compiled [152/366]: anstyle
   3.659s  INFO Compiled [153/366]: unicode_script
   3.671s  INFO Compiled [154/366]: sharded_slab
   3.695s  INFO Compiled [155/366]: sledgehammer_utils
   3.697s  INFO Compiled [156/366]: num_traits
   3.707s  INFO Compiled [157/366]: lebe
   3.723s  INFO Compiled [158/366]: flate2
   3.742s  INFO Compiled [159/366]: quote
   3.775s  INFO Compiled [160/366]: zune_inflate
   3.785s  INFO Compiled [161/366]: bytes
   3.785s  INFO Compiled [162/366]: pico_args
   3.788s  INFO Compiled [163/366]: option_ext
   3.792s  INFO Compiled [164/366]: strsim
   3.793s  INFO Compiled [165/366]: avif_serialize
   3.793s  INFO Compiled [166/366]: data_url
   3.793s  INFO Compiled [167/366]: zune_jpeg
   3.830s  INFO Compiled [168/366]: base64
   3.845s  INFO Compiled [169/366]: typenum
   3.848s  INFO Compiled [170/366]: simplecss
   3.857s  INFO Compiled [171/366]: libm
   3.869s  INFO Compiled [172/366]: bitstream_io
   3.899s  INFO Compiled [173/366]: rand_core
   3.926s  INFO Compiled [174/366]: simd_helpers
   3.933s  INFO Compiled [175/366]: imagesize
   3.938s  INFO Compiled [176/366]: unicode_vo
   3.953s  INFO Compiled [177/366]: tiny_skia_path
   3.954s  INFO Compiled [178/366]: dunce
   3.967s  INFO Compiled [179/366]: triomphe
   3.992s  INFO Compiled [180/366]: anstream
   4.48s  INFO Compiled [181/366]: core_maths
   4.55s  INFO Compiled [182/366]: bit_field
   4.74s  INFO Compiled [183/366]: rayon_core
   4.84s  INFO Compiled [184/366]: build-script-build
   4.87s  INFO Compiled [185/366]: equivalent
   4.91s  INFO Compiled [186/366]: num_integer
   4.93s  INFO Compiled [187/366]: kurbo
   4.98s  INFO Compiled [188/366]: dirs_sys
   4.107s  INFO Compiled [191/366]: zune_core
   4.107s  INFO Compiled [192/366]: clap_lex
   4.143s  INFO Compiled [194/366]: foldhash
   4.151s  INFO Compiled [195/366]: heck
   4.155s  INFO Compiled [196/366]: const_format_proc_macros
   4.167s  INFO Compiled [197/366]: roxmltree
   4.177s  INFO Compiled [198/366]: xmlwriter
   4.182s  INFO Compiled [199/366]: archery
   4.192s  INFO Compiled [200/366]: include_dir_macros
   4.287s  INFO Compiled [202/366]: rand_xoshiro
   4.332s  INFO Compiled [203/366]: serde_core
   4.364s  INFO Compiled [204/366]: send_wrapper
   4.397s  INFO Compiled [205/366]: unicode_bidi
   4.420s  INFO Compiled [206/366]: zmij
   4.427s  INFO Compiled [207/366]: sync_wrapper
   4.434s  INFO Compiled [208/366]: bitmaps
   4.448s  INFO Compiled [209/366]: itertools
   4.450s  INFO Compiled [210/366]: const_format
   4.491s  INFO Compiled [211/366]: hashbrown
   4.535s  INFO Compiled [212/366]: qoi
   4.549s  INFO Compiled [213/366]: euclid
   4.588s  INFO Compiled [214/366]: serde_core
   4.603s  INFO Compiled [215/366]: gif
   4.608s  INFO Compiled [216/366]: regex_syntax
   4.616s  INFO Compiled [217/366]: fastrand
   4.619s  INFO Compiled [218/366]: gif
   4.623s  INFO Compiled [219/366]: tower_service
   4.647s  INFO Compiled [220/366]: png
   4.650s  INFO Compiled [221/366]: itoa
   4.659s  INFO Compiled [222/366]: tower_layer
   4.668s  INFO Compiled [223/366]: svgtypes
   4.683s  INFO Compiled [224/366]: dirs
   4.696s  INFO Compiled [225/366]: glob
   4.704s  INFO Compiled [226/366]: dioxus_config_macro
   4.705s  INFO Compiled [227/366]: fixedbitset
   4.718s  INFO Compiled [228/366]: num_cpus
   4.727s  INFO Compiled [229/366]: hashbrown
   4.733s  INFO Compiled [230/366]: sized_chunks
   4.740s  INFO Compiled [231/366]: dioxus_config_macros
   4.740s  INFO Compiled [232/366]: canvas_math
   4.742s  INFO Compiled [233/366]: tap
   4.771s  INFO Compiled [234/366]: winnow
   4.803s  INFO Compiled [235/366]: include_dir
   4.814s  INFO Compiled [236/366]: zune_jpeg
   4.818s  INFO Compiled [237/366]: tempfile
   4.885s  INFO Compiled [238/366]: rpds
   4.906s  INFO Compiled [239/366]: memchr
   4.922s  INFO Compiled [240/366]: ordered_float
   4.923s  INFO Compiled [241/366]: image_webp
